name_adress,house,flat,sqrt_m,number_date,
"8-этажный 62-квартирный (смеш.) дом, ул. Тихая, д. 6, к. 3
ООО ""СЗ ""Сатурн"" ЭКОНОМ",1,62,3708,"№ 39-RU39329000-113-2020
от 11.01.2022",
"6-этажный 30-квартирный (проч.мат.) дом, ул. Яблоневая, д. 17, к. 1
ООО ""СЗ ""Твоя Недвижимость"" ЭКОНОМ",1,30,1487,"№ 39-RU39329000-069-2021
от 18.01.2022",
"6-этажный (проч.мат., монол.) дом, г.Светлогорск, Майский проезд, 4 ""б"", ГП 6
ООО ""СЗ ""СОЮЗ""",1,25,1174,"№ 39-RU39329000-282-2020
от 04.04.2022",
"7-этажный 30-квартирный дом (проч.мат.) г. Светлогорск, ул. Ольховая, д. 19, корп. 2    ООО ""Раушен""",1,30,1709,"№ 39-RU39329000-105-2018
от 16.05.2022",
"7-этажный 30-квартирный дом (проч.мат.) г. Светлогорск, ул. Ольховая, д. 19, корп. 1   ООО ""Раушен""",1,30,1661,,
"7-этажный 30-квартирный дом (проч.мат.) г. Светлогорск, ул. Ольховая, д. 19, корп. 8   ООО ""Раушен""",1,30,1728,,
"7-этажный 30-квартирный дом (проч.мат.) г. Светлогорск, ул. Ольховая, д. 19, корп. 7   ООО ""Раушен""",1,30,1719,,
"7-этажный 30-квартирный дом (проч.мат.) г. Светлогорск, ул. Ольховая, д. 19, корп. 6   ООО ""Раушен""",1,30,1718,,
"7-этажный 30-квартирный дом (проч.мат.) г. Светлогорск, ул. Ольховая, д. 19, корп. 5   ООО ""Раушен""",1,30,1686,,
"7-этажный 42-квартирный дом (проч.мат.) г. Светлогорск, ул. Ольховая, д. 19, корп. 3   ООО ""Раушен""",1,42,3174,,
"7-этажный 42-квартирный дом (проч.мат.) г. Светлогорск, ул. Ольховая, д. 19, корп. 4   ООО ""Раушен""",1,42,3225,,
"6-этажный 35-квартирный дом (проч.мат.)  г. Светлогорск, ул. Рябиновая, д. 13                         ООО ""Балтик Штерн Комплект""",1,35,1607,"№ 39-RU39329000-718-2021
от 17.05.2022",
"6-этажный 35-квартирный дом (проч.мат.)  г. Светлогорск, ул. Рябиновая, д. 15                         ООО ""Балтик Штерн Комплект""",1,35,1607,"№ 39-RU39329000-719-2021
от 17.05.2022",
"9-этажный 70-квартирный дом (проч.мат.)  г. Светлогорск, ул. Дачная, д. 6, корп.1               ООО ""СЗ ""КСК-Строй""",1,167,8386,"№ 39-RU39329000-426-2019
от 18.05.2022",
"9-этажный 104-квартирный дом (проч.мат.)  г. Светлогорск, ул. Дачная, д. 6, корп.2               ООО ""СЗ ""КСК-Строй""",1,104,4595,"№ 39-RU39329000-427-2019
от 18.05.2022",
"8-этажный 90-квартирный дом (проч.мат.)  г. Светлогорск, ул. Яблоневая, д. 18А              ООО ""СЗ ""ОСТ-Строй""",1,90,3175,"№ 39-RU39329000-441-2020
от 19.05.2022",
"7-этажный 30-квартирный дом (проч.мат.)  г. Светлогорск, ул. Яблоневая, д. 17, корп.2              ООО ""СЗ ""Твоя недвижимость""",1,30,1483,"№ 39-RU39329000-070-2021
от 19.05.2022",
"Комплекс многоквартирных домов по ул. Ольховая в г. Светлогорске Калининградской области. Жилые дома №1,  (I этап)                                                                                                             ООО ""СЗ ""КСК-СТРОЙ""",1,23,1245,№ 39-RU3929000-121-2020          от 27 июля 2022,
